DEPTH,WELL,CALI,CGR,DT,DTC,DTS,GR,NPHI,PE,POTA,RHOB,RT,RXO,SGR,THOR,URAN,LITHOLOGY
4109.9234,C,8.6833,89.1065,73.4204,-999.25,144.5559,91.12,0.137897,9.157,2.9587,2.615,7.987,0.6167,91.12,13.5391,0.2242,-999.25
4110.0758,C,8.6901,86.8534,73.3863,-999.25,143.2689,88.8495,0.157532,9.3156,3.0209,2.6056,7.3767,1.3022,88.8495,12.6528,0.2222,-999.25
4110.2282,C,8.6896,87.0582,73.2531,-999.25,141.9087,89.7021,0.197518,9.3347,3.0468,2.6014,6.9623,2.5099,89.7021,12.6078,0.2943,-999.25
4110.3806,C,8.6891,80.8052,72.4002,-999.25,140.6426,88.7957,0.225614,9.2225,2.814,2.6061,7.1952,3.0789,88.7957,11.7578,0.8896,-999.25
4110.533,C,8.6944,67.4505,71.1597,-999.25,138.3041,80.9687,0.187815,9.0166,2.2138,2.6125,8.3842,2.0379,80.9687,10.3512,1.505,-999.25
4110.6854,C,8.7291,55.7961,69.2898,-999.25,135.6765,69.5511,0.107021,8.961,1.6583,2.6176,10.9007,1.942,69.5511,9.2493,1.5314,-999.25
4110.8378,C,8.7339,44.7902,67.6639,-999.25,131.6785,52.3419,0.052839,9.4307,1.2885,2.6373,15.7848,3.6145,52.3419,7.5946,0.8408,-999.25
4110.9902,C,8.728,37.7974,65.8936,-999.25,128.2963,39.8687,0.018685,10.0541,1.1571,2.662,23.6353,6.7732,39.8687,6.1316,0.2306,-999.25
4111.1426,C,8.7241,32.8375,64.6959,-999.25,125.1498,34.1273,0.006667,10.1832,1.1217,2.6487,32.5823,8.9621,34.1273,4.8649,0.1436,-999.25
4111.295,C,8.7215,32.6603,64.375,-999.25,123.8704,33.9166,0.001801,10.1194,1.1429,2.6111,33.2395,7.641,33.9166,4.7305,0.1399,-999.25
4111.4474,C,8.7196,35.6595,65.2891,-999.25,123.7717,37.7849,0.012802,10.1687,1.2449,2.5748,24.1807,4.476,37.7849,5.1766,0.2366,-999.25
4111.5998,C,8.7168,41.1286,66.7265,-999.25,125.443,43.9995,0.03441,10.1948,1.385,2.5498,15.9091,2.0992,43.9995,6.1722,0.3196,-999.25
4111.7522,C,8.7079,51.8637,67.8426,-999.25,127.8303,53.6646,0.059499,10.0589,1.5725,2.5318,11.2731,1.1016,53.6646,8.4741,0.2005,-999.25
4111.9046,C,8.699,65.6417,68.476,-999.25,130.4438,67.4669,0.100513,9.8989,1.7773,2.5019,8.8688,0.5717,67.4669,11.5709,0.2032,-999.25
4112.057,C,8.6955,74.2543,68.735,-999.25,131.8549,76.1738,0.109856,9.8766,1.9343,2.503,8.0269,0.559,76.1738,13.3913,0.2137,-999.25
4112.2094,C,8.6662,80.1808,68.8884,-999.25,132.5884,82.1447,0.116102,9.7109,2.0664,2.5169,7.905,0.742,82.1447,14.5487,0.2187,-999.25
4112.3618,C,8.6437,83.8825,68.9101,-999.25,132.6447,85.8676,0.116666,9.6316,2.0692,2.5146,8.1833,1.1596,85.8676,15.5882,0.221,-999.25
4112.5142,C,8.6352,85.251,68.8503,-999.25,132.548,87.2987,0.114356,9.8165,1.9927,2.5313,8.4624,1.4209,87.2987,16.2802,0.228,-999.25
4112.6666,C,8.6164,86.2466,68.6256,-999.25,132.491,88.3452,0.118939,9.7384,1.9625,2.563,8.4338,1.328,88.3452,16.6825,0.2336,-999.25
4112.819,C,8.5935,84.646,68.342,-999.25,132.5283,86.7558,0.127659,9.1416,2.0174,2.58,8.2737,1.0791,86.7558,16.0103,0.2349,-999.25
4112.9714,C,8.564,83.5079,68.1898,-999.25,132.699,85.6059,0.138465,8.0578,2.0753,2.5786,8.015,1.0587,85.6059,15.4575,0.2336,-999.25
4113.1238,C,8.5403,81.1554,68.416,-999.25,133.0514,83.4581,0.141795,7.7128,2.0616,2.5833,7.87,1.2909,83.4581,14.8443,0.2564,-999.25
4113.2762,C,8.516,77.7512,69.2194,-999.25,133.4041,83.1693,0.136137,7.6153,1.9027,2.5974,7.8945,1.8684,83.1693,14.5092,0.6032,-999.25
4113.4286,C,8.5229,70.5421,70.2509,-999.25,133.5947,85.8308,0.137075,7.4834,1.6767,2.6048,7.9238,2.6653,85.8308,13.3609,1.7021,-999.25
4113.581,C,8.5071,65.2115,71.2704,-999.25,133.6117,88.9878,0.143484,7.2284,1.5073,2.6074,7.9008,2.9527,88.9878,12.5208,2.6471,-999.25
4113.7334,C,8.5112,64.4662,71.8701,-999.25,133.5868,91.1923,0.147018,7.0424,1.5294,2.6068,7.7396,2.7597,91.1923,12.2214,2.9755,-999.25
4113.8858,C,8.4785,70.505,72.1071,-999.25,133.5426,91.9148,0.157394,6.942,1.6885,2.6054,7.4591,2.4589,91.9148,13.3034,2.3836,-999.25
4114.0382,C,8.5021,77.9019,72.1385,-999.25,133.403,90.3677,0.171462,7.1724,1.845,2.5988,7.1145,3.0579,90.3677,14.781,1.3879,-999.25
