DEPTH,PHIE,SWE,VSH
2314.7,0.143985,0.5498,0.109956
2314.8,0.148897,0.6315,0.082303
2314.9,0.147088,0.667,0.05172
2315,0.141737,0.6955,0.040518
2315.1,0.130669,0.7512,0.045359
2315.2,0.120891,0.7853,0.045901
2315.3,0.121017,0.6969,0.044938
2315.4,0.134329,0.6507,0.055346
2315.5,0.152823,0.4934,0.054775
2315.6,0.173079,0.3689,0.051116
2315.7,0.180336,0.3418,0.048709
2315.8,0.185336,0.3448,0.052105
2315.9,0.190771,0.3591,0.057982
2316,0.192871,0.3728,0.065658
2316.1,0.19617,0.3779,0.091086
2316.2,0.197035,0.3827,0.114754
2316.3,0.194228,0.3971,0.118409
2316.4,0.18811,0.4085,0.120891
2316.5,0.180271,0.4199,0.088265
2316.6,0.174563,0.4135,0.085889
2316.7,0.174208,0.4029,0.093058
2316.8,0.175405,0.391,0.100821
2316.9,0.177225,0.3744,0.105992
2317,0.180335,0.3581,0.10639
2317.1,0.186254,0.3384,0.106743
2317.2,0.188388,0.3341,0.08392
2317.3,0.189623,0.3353,0.064506
2317.4,0.191259,0.3366,0.062101
2317.5,0.191138,0.3381,0.075589
2317.6,0.192799,0.3334,0.103046
2317.7,0.19705,0.3268,0.111459
2317.8,0.202994,0.3255,0.097792
2317.9,0.208899,0.3287,0.080797
2318,0.209521,0.3329,0.07375
2318.1,0.208339,0.3386,0.081528
2318.2,0.204307,0.3507,0.092343
2318.3,0.200048,0.3667,0.08557
2318.4,0.195568,0.3697,0.067645
2318.5,0.188217,0.3836,0.048062
2318.6,0.183868,0.3848,0.062288
2318.7,0.188541,0.3736,0.059486
2318.8,0.201539,0.3505,0.016674
2318.9,0.212071,0.3161,0.000001
2319,0.210415,0.2949,0.000001
2319.1,0.219047,0.2674,0.000001
2319.2,0.225185,0.2541,0.000001
2319.3,0.223714,0.2595,0.000001
2319.4,0.22322,0.257,0.000001
2319.5,0.224242,0.246,0.000001
2319.6,0.232081,0.2274,0.000001
2319.7,0.232011,0.2268,0.000001
2319.8,0.232167,0.2312,0.000001
2319.9,0.237515,0.226,0.000001
2320,0.239086,0.2222,0.000001
2320.1,0.242944,0.2159,0.000001
2320.2,0.254356,0.2049,0.000001
2320.3,0.264377,0.1979,0.000001
2320.4,0.258496,0.204,0.000001
2320.5,0.248069,0.2128,0.000001
2320.6,0.244806,0.2167,0.000001
2320.7,0.241145,0.2233,0.000001
2320.8,0.236845,0.2344,0.000001
2320.9,0.232058,0.2496,0.000001
2321,0.23216,0.2575,0.000001
2321.1,0.236765,0.2634,0.000001
2321.2,0.239916,0.2657,0.000001
2321.3,0.235215,0.2754,0.000001
2321.4,0.233031,0.2795,0.000001
2321.5,0.238597,0.2731,0.000001
2321.6,0.244695,0.2615,0.000001
2321.7,0.238481,0.2631,0.000001
2321.8,0.231997,0.2655,0.000001
2321.9,0.225431,0.2667,0.000001
2322,0.223966,0.2653,0.000001
2322.1,0.226476,0.2605,0.000001
2322.2,0.230675,0.2572,0.000001
2322.3,0.23684,0.2499,0.000001
2322.4,0.24451,0.2661,0.000001
2322.5,0.254793,0.2694,0.000001
2322.6,0.256755,0.2792,0.000001
2322.7,0.261534,0.2804,0.000001
2322.8,0.264572,0.2803,0.000001
2322.9,0.266823,0.2755,0.000001
2323,0.263537,0.2761,0.000001
2323.1,0.265227,0.2676,0.003292
2323.2,0.26485,0.2539,0.007849
2323.3,0.26569,0.2281,0.002607
2323.4,0.267414,0.2141,0.002957
2323.5,0.268016,0.191,0.007526
2323.6,0.26517,0.1803,0.01496
2323.7,0.260718,0.1787,0.027158
2323.8,0.255739,0.1826,0.043286
2323.9,0.24647,0.1916,0.061024
2324,0.240504,0.2039,0.067863
2324.1,0.233094,0.2209,0.070432
2324.2,0.220652,0.2429,0.066611
2324.3,0.210635,0.2626,0.069591
2324.4,0.197398,0.2793,0.071947
2324.5,0.192613,0.2894,0.056515
2324.6,0.188895,0.3006,0.063198
2324.7,0.189058,0.3099,0.050393
2324.8,0.198335,0.3143,0.037935
2324.9,0.210699,0.3143,0.006353
2325,0.215973,0.3144,0.028562
2325.1,0.215347,0.3268,0.046977
2325.2,0.210085,0.3417,0.064932
2325.3,0.207162,0.3522,0.079634
2325.4,0.203277,0.3736,0.089647
2325.5,0.200368,0.3695,0.103698
2325.6,0.201903,0.3503,0.099208
2325.7,0.204802,0.3405,0.093892
2325.8,0.208134,0.3368,0.105044
2325.9,0.213096,0.3425,0.109492
2326,0.224835,0.3297,0.102327
2326.1,0.23483,0.3345,0.106725
2326.2,0.248481,0.3338,0.112373
2326.3,0.255085,0.3714,0.122662
2326.4,0.256111,0.3849,0.137054
2326.5,0.253303,0.3952,0.156304
2326.6,0.249258,0.4088,0.166522
2326.7,0.246271,0.4228,0.168338
2326.8,0.246339,0.4498,0.16225
2326.9,0.249961,0.4483,0.134116
2327,0.254992,0.4313,0.116636
2327.1,0.257673,0.4132,0.105796
2327.2,0.260993,0.4038,0.099257
2327.3,0.261858,0.3974,0.104566
2327.4,0.264265,0.3943,0.10009
2327.5,0.266775,0.3827,0.098149
2327.6,0.269617,0.3713,0.094393
2327.7,0.273196,0.3638,0.083537
2327.8,0.275271,0.3583,0.075778
2327.9,0.274043,0.3567,0.072405
2328,0.273981,0.3538,0.068039
2328.1,0.273672,0.3419,0.066143
2328.2,0.275325,0.3345,0.059597
2328.3,0.276649,0.323,0.051045
2328.4,0.273545,0.3236,0.055622
2328.5,0.270754,0.3169,0.05918
2328.6,0.269736,0.3009,0.060097
2328.7,0.269405,0.2902,0.056453
2328.8,0.269824,0.2832,0.052639
2328.9,0.271321,0.2731,0.042487
2329,0.271181,0.2632,0.045253
2329.1,0.271131,0.2487,0.044258
2329.2,0.272847,0.2354,0.03399
2329.3,0.270984,0.2313,0.035214
2329.4,0.26894,0.2344,0.027731
2329.5,0.267941,0.2355,0.023982
2329.6,0.266062,0.2363,0.022365
2329.7,0.266515,0.2371,0.017636
2329.8,0.267503,0.2432,0.013258
2329.9,0.273706,0.2455,0.002974
2330,0.276425,0.2571,0.001239
2330.1,0.278029,0.2649,0.000001
2330.2,0.277969,0.2692,0.000001
2330.3,0.276407,0.2833,0.000001
2330.4,0.273255,0.2881,0.003552
2330.5,0.274466,0.2888,0.000001
2330.6,0.275826,0.2905,0.005578
2330.7,0.276475,0.2914,0.008445
2330.8,0.276414,0.2893,0.014079
2330.9,0.275066,0.2885,0.018714
2331,0.274836,0.2834,0.021873
2331.1,0.272437,0.2887,0.032517
2331.2,0.264805,0.3095,0.04429
2331.3,0.256501,0.3308,0.064633
2331.4,0.251302,0.3361,0.076963
2331.5,0.24654,0.3297,0.085475
2331.6,0.247142,0.3129,0.080349
2331.7,0.247005,0.2962,0.07433
2331.8,0.243902,0.2845,0.072293
2331.9,0.240999,0.2586,0.068183
2332,0.24089,0.2115,0.060243
2332.1,0.241349,0.1513,0.058402
2332.2,0.242967,0.132,0.060594
2332.3,0.244949,0.1207,0.063668
2332.4,0.244813,0.1345,0.068765
2332.5,0.246467,0.1618,0.06981
2332.6,0.248202,0.2356,0.072461
2332.7,0.250523,0.2786,0.075753
2332.8,0.255774,0.3084,0.074767
2332.9,0.260884,0.3459,0.077656
2333,0.260772,0.392,0.091295
2333.1,0.262893,0.4263,0.089386
2333.2,0.268127,0.4422,0.077936
2333.3,0.271234,0.4505,0.070982
2333.4,0.272086,0.4497,0.068736
2333.5,0.271323,0.4576,0.070741
2333.6,0.267156,0.471,0.074943
2333.7,0.261907,0.481,0.069237
2333.8,0.259829,0.4856,0.065931
2333.9,0.261475,0.4921,0.053593
2334,0.262979,0.4991,0.045583
2334.1,0.258711,0.5235,0.056296
2334.2,0.251781,0.5452,0.068884
2334.3,0.25747,0.5335,0.068154
2334.4,0.259124,0.5298,0.066219
2334.5,0.261679,0.5154,0.060399
2334.6,0.266804,0.4889,0.047249
2334.7,0.269629,0.4531,0.039195
2334.8,0.270591,0.4024,0.033582
2334.9,0.271144,0.3716,0.033877
2335,0.270866,0.3396,0.030722
2335.1,0.276532,0.3071,0.026172
2335.2,0.277445,0.2995,0.036939
2335.3,0.273418,0.3401,0.060105
2335.4,0.269111,0.3684,0.084441
2335.5,0.269622,0.3819,0.097858
2335.6,0.272073,0.4765,0.10303
2335.7,0.278081,0.5145,0.100954
2335.8,0.27999,0.6004,0.107702
2335.9,0.280566,0.6335,0.120581
2336,0.285125,0.6433,0.113373
2336.1,0.285866,0.6263,0.112017
2336.2,0.284777,0.6135,0.115886
2336.3,0.281699,0.6057,0.119355
2336.4,0.277347,0.6021,0.117696
2336.5,0.272853,0.6005,0.110678
2336.6,0.271171,0.5941,0.099309
2336.7,0.267856,0.5901,0.097625
2336.8,0.267138,0.5795,0.09527
2336.9,0.269898,0.5756,0.083426
2337,0.271345,0.5734,0.085166
2337.1,0.271088,0.5856,0.094769
2337.2,0.271264,0.5854,0.101655
2337.3,0.268369,0.6041,0.11244
2337.4,0.26489,0.6113,0.114837
2337.5,0.259446,0.6203,0.124949
2337.6,0.253891,0.6135,0.135651
2337.7,0.249197,0.5928,0.141418
2337.8,0.240567,0.5753,0.1443
2337.9,0.22136,0.5896,0.175324
2338,0.216988,0.5608,0.128303
2338.1,0.199535,0.5714,0.105424
2338.2,0.174128,0.6292,0.085477
2338.3,0.163673,0.6237,0.094441
2338.4,0.161339,0.6261,0.09471
2338.5,0.164753,0.6137,0.091837
2338.6,0.166818,0.599,0.095712
2338.7,0.168356,0.5873,0.096729
2338.8,0.169243,0.5778,0.096649
2338.9,0.167906,0.5716,0.098175
2339,0.168668,0.5703,0.09316
2339.1,0.172345,0.5589,0.091738
2339.2,0.178061,0.544,0.088989
2339.3,0.190226,0.525,0.087834
2339.4,0.203757,0.4963,0.09063
2339.5,0.217466,0.4755,0.097999
2339.6,0.235974,0.4584,0.063208
2339.7,0.261586,0.4243,0.023821
2339.8,0.271193,0.4212,0.015272
2339.9,0.280452,0.4241,0.006381
2340,0.286083,0.4275,0.000001
2340.1,0.287275,0.4328,0.000001
2340.2,0.287315,0.4446,0.000001
2340.3,0.286523,0.4441,0.000001
2340.4,0.28714,0.4298,0.000001
2340.5,0.287115,0.4176,0.000001
2340.6,0.28705,0.4039,0.000001
2340.7,0.286597,0.3772,0.000001
2340.8,0.286537,0.3617,0.000001
2340.9,0.283427,0.3552,0.000001
2341,0.282125,0.3491,0.000001
2341.1,0.281541,0.3389,0.000001
2341.2,0.281947,0.3396,0.000001
2341.3,0.284188,0.3454,0.000001
2341.4,0.283265,0.3498,0.000001
2341.5,0.280952,0.3556,0.000001
2341.6,0.276842,0.359,0.000001
2341.7,0.273118,0.3502,0.000001
2341.8,0.270781,0.3393,0.000001
2341.9,0.265309,0.3362,0.000001
2342,0.263214,0.3184,0.000001
2342.1,0.261276,0.2969,0.000001
2342.2,0.260538,0.2756,0.000001
2342.3,0.259858,0.2596,0.000001
2342.4,0.259336,0.2704,0.000001
2342.5,0.262091,0.3323,0.006551
2342.6,0.25164,0.4035,0.040041
2342.7,0.238533,0.4812,0.078572
2342.8,0.225847,0.5713,0.114435
2342.9,0.220353,0.6485,0.135417
2343,0.201476,0.7719,0.13152
2343.1,0.193683,0.8415,0.123046
2343.2,0.188698,0.8608,0.107531
2343.3,0.183598,0.8432,0.097346
2343.4,0.179171,0.8217,0.095908
2343.5,0.082867,1,0.142124
2343.6,0.081472,1,0.160246
2343.7,0.083896,1,0.186322
2343.8,0.087971,1,0.204798
2343.9,0.094294,0.9574,0.243671
2344,0.099722,0.8821,0.26785
2344.1,0.102972,0.8601,0.274183
2344.2,0.120507,0.7988,0.267328
2344.3,0.12559,0.9181,0.257959
2344.4,0.124657,1,0.249792
2344.5,0.121991,1,0.244718
2344.6,0.119447,1,0.243129
2344.7,0.113802,1,0.243763
2344.8,0.10853,1,0.242573
2344.9,0.105163,1,0.243507
2345,0.110068,1,0.236806
2345.1,0.117562,1,0.237666
2345.2,0.122655,1,0.242011
2345.3,0.122466,1,0.254066
2345.4,0.120547,1,0.268043
2345.5,0.117268,1,0.273878
2345.6,0.114895,1,0.273673
2345.7,0.112288,1,0.273893
2345.8,0.107561,1,0.271526
2345.9,0.104858,1,0.263207
2346,0.107198,1,0.248388
2346.1,0.10955,1,0.230139
2346.2,0.107966,1,0.216745
2346.3,0.102877,1,0.204707
2346.4,0.097942,0.9208,0.199661
2346.5,0.098373,0.8869,0.195514
2346.6,0.103753,0.8518,0.202629
2346.7,0.104368,0.8271,0.227133
2346.8,0.098101,0.8466,0.278776
2346.9,0.092002,0.8837,0.334359
2347,0.08291,0.944,0.39837
2347.1,0.072907,1,0.430554
2347.2,0.064359,1,0.43486
2347.3,0.05957,1,0.413794
2347.4,0.054639,1,0.406935
2347.5,0.065965,1,0.298238
2347.6,0.066814,1,0.266573
2347.7,0.063631,1,0.241218
2347.8,0.06219,1,0.219708
2347.9,0.05474,1,0.197501
2348,0.12041,0.8088,0.155795
2348.1,0.115598,0.8047,0.133547
2348.2,0.111845,0.805,0.119909
2348.3,0.108483,0.7892,0.102206
2348.4,0.110947,0.758,0.092849
2348.5,0.114536,0.7141,0.092331
2348.6,0.117685,0.6783,0.092822
2348.7,0.119117,0.6601,0.096254
2348.8,0.118495,0.6521,0.102578
2348.9,0.118127,0.6478,0.094518
2349,0.115316,0.6508,0.093451
2349.1,0.113714,0.6491,0.087986
2349.2,0.113506,0.6326,0.077056
2349.3,0.115899,0.5881,0.063474
2349.4,0.118607,0.5555,0.050245
2349.5,0.119579,0.5269,0.044251
2349.6,0.121193,0.511,0.039465
2349.7,0.122373,0.5024,0.036092
2349.8,0.121318,0.4989,0.035141
2349.9,0.118938,0.5017,0.034752
2350,0.117553,0.5115,0.038602
2350.1,0.116728,0.5383,0.040575
2350.2,0.119159,0.5495,0.051654
2350.3,0.12508,0.5517,0.055589
2350.4,0.131227,0.5488,0.061017
2350.5,0.137441,0.5348,0.067755
2350.6,0.141859,0.5195,0.067236
2350.7,0.145696,0.5088,0.062906
2350.8,0.151145,0.4862,0.057461
2350.9,0.157373,0.4504,0.051814
2351,0.172246,0.3848,0.054393
2351.1,0.175817,0.3481,0.054046
2351.2,0.179632,0.3265,0.052443
2351.3,0.184283,0.319,0.045085
2351.4,0.18861,0.3229,0.043461
2351.5,0.18951,0.3393,0.043066
2351.6,0.188492,0.3601,0.040888
2351.7,0.185725,0.381,0.041075
2351.8,0.184428,0.3912,0.04376
