sample number,Cumulative Oil (M m3)_1,Cumulative Oil (M m3)_3,Cumulative Oil (M m3)_5,Cumulative Oil (M m3)_7,Cumulative Oil (M m3)_9,Cumulative Oil (M m3)_11,Oil Rate (m3/day)_1,Oil Rate (m3/day)_3,Oil Rate (m3/day)_5,Oil Rate (m3/day)_7,Oil Rate (m3/day)_9,Oil Rate (m3/day)_11,Initial Sw
532,0.00494585,192.78,357.63,503.86,632.8,742.07,7122.1,3044.4,2702.4,2397.3,2079.7,1791.4,0.23
533,0.00194021,79.179,151.95,219.91,284.45,343.89,2793.9,1278.8,1192.9,1114.1,1041.0,974.41,0.26
534,0.00447546,136.84,244.26,335.77,418.88,492.56,6444.7,2022.5,1692.0,1500.2,1340.5,1207.8,0.17
535,0.00160933,72.415,139.82,203.55,264.88,322.1,2317.4,1173.5,1105.0,1044.8,989.14,938.01,0.25
536,0.00162602,66.339,127.27,185.15,241.18,293.79,2341.5,1059.8,998.86,948.87,903.72,862.39,0.17
537,0.000463626,23.236,45.844,67.93,89.916,111.13,667.63,382.04,370.62,362.07,354.61,347.76,0.24
538,0.000588208,29.021,57.241,84.771,112.12,138.45,847.02,477.6,462.61,451.31,441.15,431.66,0.24
539,0.00139756,63.979,125.29,184.21,241.83,296.42,2012.5,1052.6,1005.0,965.95,929.34,894.9,0.18
540,0.00276598,112.24,212.57,305.03,391.77,470.69,3983.0,1797.8,1644.8,1515.8,1399.0,1293.8,0.26
541,0.00126248,51.067,98.469,143.86,188.15,230.05,1818.0,818.11,777.08,744.1,714.33,686.91,0.18
543,0.00161844,74.316,144.13,210.27,274.04,333.66,2330.6,1216.1,1144.4,1084.3,1028.7,977.24,0.22
544,2.2312e-06,0.13569,0.26625,0.3947,0.52379,0.64973,3.2129,2.2023,2.1403,2.1058,2.0821,2.0646,0.19
545,0.00138257,63.497,123.47,180.67,236.12,288.2,1990.9,1033.1,983.21,937.67,894.36,853.83,0.22
546,0.00479211,180.09,330.99,458.02,568.26,663.19,6900.7,2771.6,2386.0,2082.5,1778.1,1556.2,0.22
547,0.0030128,108.32,203.62,291.19,372.35,444.3,4338.5,1717.2,1562.4,1435.6,1309.0,1179.5,0.23
548,0.000404617,16.943,32.489,47.597,62.625,77.141,582.65,266.8,254.85,247.67,242.39,237.98,0.26
549,0.0063883,228.01,412.02,561.02,683.52,786.73,9199.2,3485.4,2875.4,2332.6,1975.9,1691.9,0.19
550,1.38949e-05,0.71133,1.367,2.0018,2.632,3.2406,20.009,11.293,10.748,10.408,10.164,9.9772,0.18
551,0.000670676,28.87,56.102,82.366,108.23,132.97,965.78,468.27,446.43,430.55,417.22,405.45,0.21
552,0.000808733,35.461,68.375,99.929,130.85,160.26,1164.6,570.2,539.59,517.27,498.65,482.27,0.18
553,0.00152563,65.479,127.46,186.85,244.75,299.45,2196.9,1066.2,1016.1,973.6,933.91,896.71,0.19
554,0.017361,1475.0,2645.9,3363.9,3958.8,4459.7,25000.0,25000.0,14291.0,11308.0,9596.5,8211.5,0.24
555,0.00236925,96.933,182.62,259.19,330.83,395.84,3411.7,1534.3,1367.9,1255.2,1155.5,1065.8,0.18
556,0.00265844,106.37,200.72,287.97,370.11,445.14,3828.2,1680.9,1546.7,1430.3,1324.9,1230.0,0.26
557,0.000318773,15.914,31.283,46.259,61.167,75.575,459.04,261.16,251.95,245.52,240.45,236.2,0.19
558,0.0036248,133.5,249.1,350.69,443.35,522.24,5219.8,2071.2,1841.6,1665.4,1445.3,1293.2,0.2
